platform,order_id,order_date,order_time,subtotal,commission_rate_pct,commission_amount,net_payout,status,refund_date,campaign_id,notes
iFood,IFOOD-20240801-0001,2024-08-01,12:05,42.00,23,9.66,32.34,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20240801-0002,2024-08-01,19:35,55.25,23,12.71,42.54,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20240801-0003,2024-08-01,13:10,38.75,23,8.91,29.84,completed,,,
iFood,IFOOD-20240801-0004,2024-08-01,20:20,60.50,23,13.92,46.58,completed,,,
Just Eat Takeaway,JET-1049201,2024-08-01,19:35,31.50,20,6.30,25.20,completed,,,
Just Eat Takeaway,JET-1049202,2024-08-01,13:10,52.75,20,10.55,42.20,completed,,,
Just Eat Takeaway,JET-1049203,2024-08-01,20:20,44.00,20,8.80,35.20,completed,,,
Just Eat Takeaway,JET-1049204,2024-08-01,12:05,50.00,20,10.00,40.00,completed,,,
iFood,IFOOD-20240802-0005,2024-08-02,12:05,48.50,23,11.16,37.34,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20240802-0006,2024-08-02,19:35,62.25,23,14.32,47.93,completed,,,
iFood,IFOOD-20240802-0006,2024-08-02,19:35,-62.25,23,-14.32,-47.93,refunded,2024-08-09,,Customer dispute; platform ref R-77102. Refund settled 7 days after the original order date.
iFood,IFOOD-20240802-0007,2024-08-02,13:10,57.50,23,13.23,44.27,completed,,,
iFood,IFOOD-20240802-0008,2024-08-02,20:20,63.50,23,14.61,48.89,completed,,IFOOD-CAMP-BOOST01,
Just Eat Takeaway,JET-1049205,2024-08-02,19:35,39.75,20,7.95,31.80,completed,,,
Just Eat Takeaway,JET-1049206,2024-08-02,13:10,58.25,20,11.65,46.60,completed,,,
Just Eat Takeaway,JET-1049207,2024-08-02,20:20,61.00,20,12.20,48.80,completed,,,
Just Eat Takeaway,JET-1049208,2024-08-02,12:05,55.50,20,11.10,44.40,completed,,,
iFood,IFOOD-20240803-0009,2024-08-03,12:05,58.00,23,13.34,44.66,completed,,,
iFood,IFOOD-20240803-0010,2024-08-03,19:35,71.50,23,16.45,55.05,completed,,,
iFood,IFOOD-20240803-0011,2024-08-03,13:10,24.00,23,5.52,18.48,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20240803-0011,2024-08-03,13:10,24.00,23,5.52,18.48,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20240803-0012,2024-08-03,20:20,66.50,23,15.30,51.20,completed,,,
iFood,IFOOD-20240803-0013,2024-08-03,12:05,42.00,23,9.66,32.34,completed,,,
Just Eat Takeaway,JET-1049209,2024-08-03,19:35,45.25,20,9.05,36.20,completed,,,
Just Eat Takeaway,JET-1049210,2024-08-03,13:10,62.75,20,12.55,50.20,completed,,,
Just Eat Takeaway,JET-1049211,2024-08-03,20:20,68.00,20,13.60,54.40,completed,,,
Just Eat Takeaway,JET-1049212,2024-08-03,12:05,63.50,20,12.70,50.80,completed,,,
iFood,IFOOD-20240804-0014,2024-08-04,12:05,36.75,23,8.45,28.30,completed,,,
iFood,IFOOD-20240804-0015,2024-08-04,19:35,59.00,23,13.57,45.43,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20240804-0016,2024-08-04,13:10,51.50,23,11.85,39.65,completed,,,
iFood,IFOOD-20240804-0017,2024-08-04,20:20,58.00,23,13.34,44.66,completed,,,
Just Eat Takeaway,JET-1049213,2024-08-04,19:35,42.25,20,8.45,33.80,completed,,JET-CAMP-LUNCHFIX,
Just Eat Takeaway,JET-1049214,2024-08-04,13:10,48.50,20,9.70,38.80,completed,,,
Just Eat Takeaway,JET-1049215,2024-08-04,20:20,55.25,20,11.05,44.20,completed,,,
Just Eat Takeaway,JET-1049216,2024-08-04,12:05,43.75,20,8.75,35.00,completed,,,
iFood,IFOOD-20240805-0018,2024-08-05,12:05,28.50,23,6.56,21.94,completed,,,
iFood,IFOOD-20240805-0019,2024-08-05,19:35,41.25,23,9.49,31.76,completed,,,
iFood,IFOOD-20240805-0020,2024-08-05,13:10,35.75,23,8.22,27.53,completed,,,
iFood,IFOOD-20240805-0021,2024-08-05,20:20,43.00,23,9.89,33.11,completed,,IFOOD-CAMP-BOOST01,
Just Eat Takeaway,JET-1049217,2024-08-05,19:35,26.00,20,5.20,20.80,completed,,,
Just Eat Takeaway,JET-1049218,2024-08-05,13:10,39.50,20,7.90,31.60,completed,,,
Just Eat Takeaway,JET-1049219,2024-08-05,20:20,44.25,20,8.85,35.40,completed,,,
Just Eat Takeaway,JET-1049220,2024-08-05,12:05,31.25,20,6.25,25.00,completed,,,
iFood,IFOOD-20240806-0022,2024-08-06,12:05,33.50,23,7.71,25.79,completed,,,
iFood,IFOOD-20240806-0023,2024-08-06,19:35,47.25,23,10.87,36.38,completed,,,
iFood,IFOOD-20240806-0024,2024-08-06,13:10,52.00,23,11.96,40.04,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20240806-0025,2024-08-06,20:20,39.50,23,9.09,30.41,completed,,,
Just Eat Takeaway,JET-1049221,2024-08-06,19:35,36.25,20,7.25,29.00,completed,,JET-CAMP-LUNCHFIX,
Just Eat Takeaway,JET-1049222,2024-08-06,13:10,41.75,20,8.35,33.40,completed,,,
Just Eat Takeaway,JET-1049223,2024-08-06,20:20,48.00,20,9.60,38.40,completed,,,
Just Eat Takeaway,JET-1049224,2024-08-06,12:05,39.50,20,7.90,31.60,completed,,,
iFood,IFOOD-20240807-0026,2024-08-07,12:05,40.25,23,9.26,30.99,completed,,,
iFood,IFOOD-20240807-0027,2024-08-07,19:35,55.50,23,12.77,42.73,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20240807-0028,2024-08-07,13:10,46.00,23,10.58,35.42,completed,,,
iFood,IFOOD-20240807-0029,2024-08-07,20:20,43.00,23,9.89,33.11,completed,,,
Just Eat Takeaway,JET-1049225,2024-08-07,19:35,34.50,20,6.90,27.60,completed,,JET-CAMP-LUNCHFIX,
Just Eat Takeaway,JET-1049226,2024-08-07,13:10,49.75,20,9.95,39.80,completed,,,
Just Eat Takeaway,JET-1049227,2024-08-07,20:20,52.50,20,10.50,42.00,completed,,,
Just Eat Takeaway,JET-1049228,2024-08-07,12:05,39.50,20,7.90,31.60,completed,,,
iFood,IFOOD-20240808-0030,2024-08-08,12:05,44.00,23,10.12,33.88,completed,,,
iFood,IFOOD-20240808-0031,2024-08-08,19:35,52.25,23,12.02,40.23,completed,,,
iFood,IFOOD-20240808-0032,2024-08-08,13:10,57.75,23,13.28,44.47,completed,,,
iFood,IFOOD-20240808-0033,2024-08-08,20:20,37.50,23,8.63,28.87,completed,,,
Just Eat Takeaway,JET-1049229,2024-08-08,19:35,41.50,20,8.30,33.20,completed,,,
Just Eat Takeaway,JET-1049230,2024-08-08,13:10,47.25,20,9.45,37.80,completed,,,
Just Eat Takeaway,JET-1049231,2024-08-08,20:20,56.00,20,11.20,44.80,completed,,,
Just Eat Takeaway,JET-1049232,2024-08-08,12:05,39.00,20,7.80,31.20,completed,,,
iFood,IFOOD-20240809-0034,2024-08-09,12:05,51.75,23,11.90,39.85,completed,,,
iFood,IFOOD-20240809-0035,2024-08-09,19:35,63.00,23,14.49,48.51,completed,,,
iFood,IFOOD-20240809-0036,2024-08-09,13:10,58.50,23,13.46,45.04,completed,,,
iFood,IFOOD-20240809-0037,2024-08-09,20:20,65.00,23,14.95,50.05,completed,,,
Just Eat Takeaway,JET-1049233,2024-08-09,19:35,46.25,20,9.25,37.00,completed,,JET-CAMP-LUNCHFIX,
Just Eat Takeaway,JET-1049234,2024-08-09,13:10,59.75,20,11.95,47.80,completed,,,
Just Eat Takeaway,JET-1049235,2024-08-09,20:20,62.00,20,12.40,49.60,completed,,,
Just Eat Takeaway,JET-1049236,2024-08-09,12:05,53.50,20,10.70,42.80,completed,,,
iFood,IFOOD-20240811-0038,2024-08-11,12:05,43.25,23,9.95,33.30,completed,,,
iFood,IFOOD-20240811-0039,2024-08-11,19:35,57.50,23,13.23,44.27,completed,,,
iFood,IFOOD-20240811-0040,2024-08-11,13:10,62.75,23,14.43,48.32,completed,,,
iFood,IFOOD-20240811-0041,2024-08-11,20:20,46.00,23,10.58,35.42,completed,,,
Just Eat Takeaway,JET-1049237,2024-08-11,19:35,39.50,20,7.90,31.60,completed,,,
Just Eat Takeaway,JET-1049238,2024-08-11,13:10,54.25,20,10.85,43.40,completed,,,
Just Eat Takeaway,JET-1049239,2024-08-11,20:20,58.00,20,11.60,46.40,completed,,JET-CAMP-NEWMENU,
Just Eat Takeaway,JET-1049240,2024-08-11,12:05,45.50,20,9.10,36.40,completed,,,
iFood,IFOOD-20240812-0042,2024-08-12,12:05,29.75,23,6.84,22.91,completed,,,
iFood,IFOOD-20240812-0043,2024-08-12,19:35,44.50,23,10.24,34.26,completed,,,
iFood,IFOOD-20240812-0044,2024-08-12,13:10,38.25,23,8.80,29.45,completed,,,
iFood,IFOOD-20240812-0045,2024-08-12,20:20,40.25,23,9.26,30.99,completed,,,
Just Eat Takeaway,JET-1049241,2024-08-12,19:35,33.00,20,6.60,26.40,completed,,,
Just Eat Takeaway,JET-1049242,2024-08-12,13:10,41.25,20,8.25,33.00,completed,,,
