order_id,order_date,order_time,channel,gross_amount,payment_method,status
POS-1000,01/08/2024,12:15,dine_in,152.50,card,completed
POS-1001,01/08/2024,19:40,dine_in,228.75,card,completed
POS-1002,01/08/2024,13:05,takeaway,68.25,cash,completed
POS-1003,01/08/2024,20:10,phone,94.50,card,completed
POS-1004,01/08/2024,19:05,dine_in,121.00,card,completed
POS-1005,01/08/2024,12:50,takeaway,71.50,cash,completed
POS-1006,02/08/2024,12:15,dine_in,165.00,card,completed
POS-1007,02/08/2024,19:40,dine_in,241.50,card,completed
POS-1008,02/08/2024,13:05,takeaway,79.75,cash,completed
POS-1009,02/08/2024,20:10,phone,102.25,card,completed
POS-1010,02/08/2024,19:05,dine_in,138.50,card,completed
POS-1011,02/08/2024,12:50,takeaway,75.25,cash,completed
POS-1012,03/08/2024,12:15,dine_in,189.25,card,completed
POS-1013,03/08/2024,19:40,dine_in,263.00,card,completed
POS-1014,03/08/2024,13:05,takeaway,88.50,cash,completed
POS-1015,03/08/2024,20:10,phone,112.75,card,completed
POS-1016,03/08/2024,19:05,dine_in,148.25,card,completed
POS-1017,03/08/2024,12:50,takeaway,89.25,cash,completed
POS-1018,04/08/2024,12:15,dine_in,158.75,card,completed
POS-1019,04/08/2024,19:40,dine_in,232.25,card,completed
POS-1020,04/08/2024,13:05,takeaway,72.00,cash,completed
POS-1021,04/08/2024,20:10,phone,98.50,card,completed
POS-1022,04/08/2024,19:05,dine_in,131.75,card,completed
POS-1023,04/08/2024,12:50,takeaway,75.25,cash,completed
POS-1024,05/08/2024,12:15,dine_in,124.50,card,completed
POS-1025,05/08/2024,19:40,dine_in,196.75,card,completed
POS-1026,05/08/2024,13:05,takeaway,58.25,cash,completed
POS-1027,05/08/2024,20:10,phone,82.00,card,completed
POS-1028,05/08/2024,19:05,dine_in,102.50,card,completed
POS-1029,05/08/2024,12:50,takeaway,48.25,cash,completed
POS-1030,06/08/2024,12:15,dine_in,136.25,card,completed
POS-1031,06/08/2024,19:40,dine_in,208.50,card,completed
POS-1032,06/08/2024,13:05,takeaway,63.75,cash,completed
POS-1033,06/08/2024,20:10,phone,88.25,card,completed
POS-1034,06/08/2024,19:05,dine_in,112.00,card,completed
POS-1035,06/08/2024,12:50,takeaway,56.00,cash,completed
POS-1036,07/08/2024,12:15,dine_in,143.75,card,completed
POS-1037,07/08/2024,19:40,dine_in,219.25,card,completed
POS-1038,07/08/2024,13:05,takeaway,67.50,cash,completed
POS-1039,07/08/2024,20:10,phone,92.75,card,completed
POS-1040,07/08/2024,19:05,dine_in,118.25,card,completed
POS-1041,07/08/2024,12:50,takeaway,60.00,cash,completed
POS-1042,08/08/2024,12:15,dine_in,149.50,card,completed
POS-1043,08/08/2024,19:40,dine_in,224.75,card,completed
POS-1044,08/08/2024,13:05,takeaway,70.25,cash,completed
POS-1045,08/08/2024,20:10,phone,95.50,card,completed
POS-1046,08/08/2024,19:05,dine_in,123.00,card,completed
POS-1047,08/08/2024,12:50,takeaway,62.00,cash,completed
POS-1048,09/08/2024,12:15,dine_in,171.25,card,completed
POS-1049,09/08/2024,19:40,dine_in,248.00,card,completed
POS-1050,09/08/2024,13:05,takeaway,82.50,cash,completed
POS-1051,09/08/2024,20:10,phone,106.75,card,completed
POS-1052,09/08/2024,19:05,dine_in,141.50,card,completed
POS-1053,09/08/2024,12:50,takeaway,73.50,cash,completed
POS-1054,10/08/2024,12:15,dine_in,232.50,card,completed
POS-1055,10/08/2024,19:40,dine_in,318.25,card,completed
POS-1056,10/08/2024,13:05,takeaway,124.75,cash,completed
POS-1057,10/08/2024,20:10,phone,156.00,card,completed
POS-1058,10/08/2024,19:05,dine_in,198.50,card,completed
POS-1059,10/08/2024,12:50,takeaway,174.50,cash,completed
POS-1060,11/08/2024,12:15,dine_in,161.50,card,completed
POS-1061,11/08/2024,19:40,dine_in,236.75,card,completed
POS-1062,11/08/2024,13:05,takeaway,73.25,cash,completed
POS-1063,11/08/2024,20:10,phone,99.00,card,completed
POS-1064,11/08/2024,19:05,dine_in,133.50,card,completed
POS-1065,11/08/2024,12:50,takeaway,75.25,cash,completed
POS-1066,12/08/2024,12:15,dine_in,121.75,card,completed
POS-1067,12/08/2024,19:40,dine_in,192.50,card,completed
POS-1068,12/08/2024,13:05,takeaway,56.50,cash,completed
POS-1069,12/08/2024,20:10,phone,79.25,card,completed
POS-1070,12/08/2024,19:05,dine_in,99.00,card,completed
POS-1071,12/08/2024,12:50,takeaway,49.00,cash,completed
POS-1072,13/08/2024,12:15,dine_in,132.00,card,completed
POS-1073,13/08/2024,19:40,dine_in,203.25,card,completed
POS-1074,13/08/2024,13:05,takeaway,61.50,cash,completed
POS-1075,13/08/2024,20:10,phone,86.00,card,completed
POS-1076,13/08/2024,19:05,dine_in,108.75,card,completed
POS-1077,13/08/2024,12:50,takeaway,56.00,cash,completed
POS-1078,14/08/2024,12:15,dine_in,146.50,card,completed
POS-1079,14/08/2024,19:40,dine_in,222.00,card,completed
POS-1080,14/08/2024,13:05,takeaway,68.75,cash,completed
POS-1081,14/08/2024,20:10,phone,94.25,card,completed
POS-1082,14/08/2024,19:05,dine_in,120.50,card,completed
POS-1083,14/08/2024,12:50,takeaway,60.75,cash,completed
