platform,order_id,order_date,order_time,subtotal,commission_rate_pct,commission_amount,net_payout,status,refund_date,campaign_id,notes
iFood,IFOOD-20260801-0001,2026-08-01,12:45,42.00,23,9.66,32.34,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20260801-0002,2026-08-01,19:30,27.50,23,6.33,21.17,completed,,,
Just Eat Takeaway,JET-1049201,2026-08-01,13:10,31.00,20,6.20,24.80,completed,,,
Just Eat Takeaway,JET-1049202,2026-08-01,20:05,45.25,20,9.05,36.20,completed,,,
iFood,IFOOD-20260802-0006,2026-08-02,12:20,38.00,23,8.74,29.26,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20260802-0007,2026-08-02,19:50,34.50,23,7.94,26.56,completed,,,
iFood,IFOOD-20260802-0007,2026-08-02,19:50,-34.50,23,-7.94,-26.56,refunded,2026-08-09,,Customer dispute; platform ref R-88213. Refund settled 7 days after the original order date.
Just Eat Takeaway,JET-1049210,2026-08-02,13:40,29.75,20,5.95,23.80,completed,,,
Just Eat Takeaway,JET-1049211,2026-08-02,20:15,52.00,20,10.40,41.60,completed,,,
iFood,IFOOD-20260803-0011,2026-08-03,12:05,24.00,23,5.52,18.48,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20260803-0011,2026-08-03,12:05,24.00,23,5.52,18.48,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20260803-0012,2026-08-03,19:15,31.25,23,7.19,24.06,completed,,,
Just Eat Takeaway,JET-1049220,2026-08-03,13:00,26.50,20,5.30,21.20,completed,,,
Just Eat Takeaway,JET-1049221,2026-08-03,19:45,38.75,20,7.75,31.00,completed,,,
iFood,IFOOD-20260804-0016,2026-08-04,12:30,29.00,23,6.67,22.33,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20260804-0017,2026-08-04,19:40,33.50,23,7.71,25.79,completed,,,
Just Eat Takeaway,JET-1049230,2026-08-04,13:20,22.00,20,4.40,17.60,completed,,JET-CAMP-LUNCHFIX,
Just Eat Takeaway,JET-1049231,2026-08-04,20:00,41.00,20,8.20,32.80,completed,,,
iFood,IFOOD-20260805-0021,2026-08-05,12:15,36.00,23,8.28,27.72,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20260805-0022,2026-08-05,19:20,28.50,23,6.56,21.94,completed,,,
Just Eat Takeaway,JET-1049240,2026-08-05,13:35,24.25,20,4.85,19.40,completed,,,
Just Eat Takeaway,JET-1049241,2026-08-05,20:10,47.00,20,9.40,37.60,completed,,,
iFood,IFOOD-20260806-0026,2026-08-06,12:40,31.50,23,7.25,24.25,completed,,,
iFood,IFOOD-20260806-0027,2026-08-06,19:55,26.75,23,6.15,20.60,completed,,,
Just Eat Takeaway,JET-1049250,2026-08-06,13:15,33.00,20,6.60,26.40,completed,,JET-CAMP-LUNCHFIX,
Just Eat Takeaway,JET-1049251,2026-08-06,19:30,39.50,20,7.90,31.60,completed,,,
iFood,IFOOD-20260807-0031,2026-08-07,12:25,45.00,23,10.35,34.65,completed,,IFOOD-CAMP-BOOST01,
iFood,IFOOD-20260807-0032,2026-08-07,19:35,29.25,23,6.73,22.52,completed,,,
Just Eat Takeaway,JET-1049260,2026-08-07,13:05,21.00,20,4.20,16.80,completed,,,
Just Eat Takeaway,JET-1049261,2026-08-07,20:20,44.50,20,8.90,35.60,completed,,,
iFood,IFOOD-20260809-0036,2026-08-09,12:50,34.00,23,7.82,26.18,completed,,,
iFood,IFOOD-20260809-0037,2026-08-09,19:45,27.00,23,6.21,20.79,completed,,,
Just Eat Takeaway,JET-1049270,2026-08-09,13:25,25.00,20,5.00,20.00,completed,,,
Just Eat Takeaway,JET-1049271,2026-08-09,20:00,40.25,20,8.05,32.20,completed,,,
iFood,IFOOD-20260810-0041,2026-08-10,12:10,30.00,23,6.90,23.10,completed,,,
iFood,IFOOD-20260810-0042,2026-08-10,19:20,32.50,23,7.48,25.02,completed,,,
Just Eat Takeaway,JET-1049280,2026-08-10,13:45,28.00,20,5.60,22.40,completed,,,
Just Eat Takeaway,JET-1049281,2026-08-10,20:15,46.00,20,9.20,36.80,completed,,,
iFood,IFOOD-20260811-0046,2026-08-11,12:35,33.00,23,7.59,25.41,completed,,,
iFood,IFOOD-20260811-0047,2026-08-11,19:50,29.50,23,6.79,22.71,completed,,,
Just Eat Takeaway,JET-1049290,2026-08-11,13:10,26.00,20,5.20,20.80,completed,,JET-CAMP-NEWMENU,
Just Eat Takeaway,JET-1049291,2026-08-11,19:55,42.00,20,8.40,33.60,completed,,,
iFood,IFOOD-20260812-0051,2026-08-12,12:20,35.50,23,8.17,27.33,completed,,,
iFood,IFOOD-20260812-0052,2026-08-12,19:30,31.00,23,7.13,23.87,completed,,,
Just Eat Takeaway,JET-1049300,2026-08-12,13:40,24.50,20,4.90,19.60,completed,,JET-CAMP-NEWMENU,
Just Eat Takeaway,JET-1049301,2026-08-12,20:05,38.00,20,7.60,30.40,completed,,,
iFood,IFOOD-20260813-0056,2026-08-13,12:45,28.75,23,6.61,22.14,completed,,,
iFood,IFOOD-20260813-0057,2026-08-13,19:15,33.25,23,7.65,25.60,completed,,,
Just Eat Takeaway,JET-1049310,2026-08-13,13:00,27.50,20,5.50,22.00,completed,,,
Just Eat Takeaway,JET-1049311,2026-08-13,19:40,41.50,20,8.30,33.20,completed,,,
iFood,IFOOD-20260814-0061,2026-08-14,12:30,36.50,23,8.40,28.10,completed,,,
iFood,IFOOD-20260814-0062,2026-08-14,19:45,30.25,23,6.96,23.29,completed,,,
Just Eat Takeaway,JET-1049320,2026-08-14,13:15,29.00,20,5.80,23.20,completed,,JET-CAMP-NEWMENU,
Just Eat Takeaway,JET-1049321,2026-08-14,20:00,44.75,20,8.95,35.80,completed,,,
