order_id,order_date,order_time,channel,gross_amount,payment_method,status
POS-1000,01/08/2026,12:15,dine_in,78.50,card,completed
POS-1001,01/08/2026,19:40,dine_in,112.00,card,completed
POS-1002,01/08/2026,13:05,takeaway,24.50,cash,completed
POS-1003,01/08/2026,20:10,phone,33.75,card,completed
POS-1004,02/08/2026,12:30,dine_in,65.25,card,completed
POS-1005,02/08/2026,19:20,dine_in,98.00,card,completed
POS-1006,02/08/2026,13:15,takeaway,19.00,cash,completed
POS-1007,02/08/2026,20:00,phone,41.50,card,completed
POS-1008,03/08/2026,12:00,dine_in,55.00,cash,completed
POS-1009,03/08/2026,19:10,dine_in,89.75,card,completed
POS-1010,03/08/2026,13:20,takeaway,22.25,card,completed
POS-1011,03/08/2026,20:15,phone,28.00,cash,completed
POS-1012,04/08/2026,12:40,dine_in,72.50,card,completed
POS-1013,04/08/2026,19:35,dine_in,105.25,card,completed
POS-1014,04/08/2026,13:10,takeaway,20.75,cash,completed
POS-1015,04/08/2026,20:05,phone,36.00,card,completed
POS-1016,05/08/2026,12:20,dine_in,68.00,card,completed
POS-1017,05/08/2026,19:45,dine_in,94.50,card,completed
POS-1018,05/08/2026,13:00,takeaway,25.50,cash,completed
POS-1019,05/08/2026,20:20,phone,30.25,card,completed
POS-1020,06/08/2026,12:15,dine_in,59.75,cash,completed
POS-1021,06/08/2026,19:30,dine_in,101.00,card,completed
POS-1022,06/08/2026,13:25,takeaway,18.50,card,completed
POS-1023,06/08/2026,20:00,phone,44.25,cash,completed
POS-1024,07/08/2026,12:35,dine_in,82.00,card,completed
POS-1025,07/08/2026,19:50,dine_in,118.50,card,completed
POS-1026,07/08/2026,13:05,takeaway,26.75,cash,completed
POS-1027,07/08/2026,20:10,phone,39.00,card,completed
POS-1028,08/08/2026,12:00,dine_in,145.00,card,completed
POS-1029,08/08/2026,13:15,dine_in,132.50,card,completed
POS-1030,08/08/2026,19:30,dine_in,168.00,card,completed
POS-1031,08/08/2026,20:45,takeaway,42.00,cash,completed
POS-1032,09/08/2026,12:25,dine_in,71.50,card,completed
POS-1033,09/08/2026,19:15,dine_in,96.75,card,completed
POS-1034,09/08/2026,13:10,takeaway,23.00,cash,completed
POS-1035,09/08/2026,20:05,phone,34.50,card,completed
POS-1036,10/08/2026,12:10,dine_in,63.25,cash,completed
POS-1037,10/08/2026,19:40,dine_in,99.00,card,completed
POS-1038,10/08/2026,13:20,takeaway,21.50,card,completed
POS-1039,10/08/2026,20:15,phone,37.75,cash,completed
POS-1040,11/08/2026,12:30,dine_in,74.00,card,completed
POS-1041,11/08/2026,19:25,dine_in,107.50,card,completed
POS-1042,11/08/2026,13:00,takeaway,19.75,cash,completed
POS-1043,11/08/2026,20:00,phone,32.00,card,completed
POS-1044,12/08/2026,12:20,dine_in,66.50,card,completed
POS-1045,12/08/2026,19:35,dine_in,92.25,card,completed
POS-1046,12/08/2026,13:15,takeaway,24.00,cash,completed
POS-1047,12/08/2026,20:10,phone,29.50,card,completed
POS-1048,13/08/2026,12:05,dine_in,61.75,cash,completed
POS-1049,13/08/2026,19:20,dine_in,103.00,card,completed
POS-1050,13/08/2026,13:25,takeaway,20.25,card,completed
POS-1051,13/08/2026,20:00,phone,35.50,cash,completed
POS-1052,14/08/2026,12:15,dine_in,79.25,card,completed
POS-1053,14/08/2026,19:45,dine_in,115.00,card,completed
POS-1054,14/08/2026,13:05,takeaway,27.00,cash,completed
POS-1055,14/08/2026,20:20,phone,40.75,card,completed
